enso_region,country,pop_count,precip_pos_pweight_bin,precip_neg_pweight_bin,temp_pos_pweight_bin,temp_neg_pweight_bin
WA,Afghanistan,20082293.9797,1.0,0.0,0.0,0.0
WA,Albania,3060376.4869999997,0.0,0.0,0.0,0.0
WA,Algeria,31823770.087346,0.0,0.0,0.0,0.0
TE,American Samoa,56101.293,1.0,1.0,1.0,1.0
TE,Angola,15280252.2744067,0.0,0.0,1.0,0.0
TE,Anguilla,73106.053,1.0,1.0,1.0,1.0
TE,Antigua and Barbuda,77648.00000699998,1.0,1.0,1.0,1.0
WA,Argentina,38642268.22045181,0.0,0.0,0.0,0.0
WA,Armenia,3276540.1649999996,1.0,0.0,0.0,0.0
TE,Aruba,59681.784,1.0,1.0,1.0,1.0
TE,Australia,19100178.70728261,0.0,1.0,1.0,0.0
WA,Austria,8300289.182,0.0,0.0,0.0,0.0
WA,Azerbaijan,8101177.316699999,1.0,0.0,0.0,0.0
TE,Bahamas,295947.10057050164,1.0,1.0,1.0,1.0
TE,Bahrain,545364.327,1.0,1.0,1.0,1.0
TE,Bangladesh,127922577.6,0.0,0.0,0.0,0.0
TE,Barbados,269838.00200000004,1.0,1.0,1.0,1.0
WA,Belarus,10040436.31,0.0,0.0,0.0,0.0
WA,Belgium,12145691.429,0.0,0.0,0.0,0.0
TE,Belize,214113.398102,0.0,0.0,1.0,0.0
TE,Benin,7330203.226,0.0,0.0,1.0,0.0
TE,Bermuda,64035.0,1.0,1.0,1.0,1.0
WA,Bhutan,817234.4868000001,0.0,0.0,0.0,0.0
TE,Bolivia,8294825.37234,0.0,0.0,1.0,0.0
WA,Bosnia and Herzegovina,3611543.891,0.0,0.0,0.0,0.0
TE,Botswana,1852380.0909863,0.0,0.0,1.0,0.0
TE,Bouvet Island,0.0,0.0,0.0,0.0,0.0
TE,Brazil,175248001.25139448,0.0,0.0,1.0,0.0
TE,British Indian Ocean Territory,0.0,0.0,0.0,0.0,0.0
TE,British Virgin Islands,3100.32138,1.0,1.0,1.0,1.0
TE,Brunei Darussalam,386347.467,0.0,1.0,1.0,0.0
WA,Bulgaria,7718766.1065034,0.0,0.0,0.0,0.0
TE,Burkina Faso,11395862.834,0.0,0.0,1.0,0.0
TE,Burundi,6496786.16,0.0,0.0,1.0,0.0
TE,Cabo Verde,438736.96854,1.0,0.0,1.0,0.0
